policy_id,policy_name,policy_description,policy_category,department,effective_from
FFIN001,Payroll Disbursement Policy,"Salaries are credited monthly on the last working day of the month through bank transfer to the employee’s registered foreign bank account. Statutory deductions such as income tax, social security contributions, and other legally mandated withholdings are deducted as per applicable foreign employment laws. Any additional deductions require written employee consent. Payroll processing and salary approvals are authorized by the Finance Head and HR, in accordance with company policy and local labor regulations.",payroll,finance,31/12/2025
FFIN002,Incentive & Bonus Policy,"Employees who have completed the minimum required service period as defined by company policy are eligible for performance bonuses and incentives. Bonus amounts are calculated based on individual performance evaluations, business targets, and organizational performance. Performance bonuses are paid annually, and role-based or sales incentives are paid quarterly, subject to applicable foreign employment and tax laws and company policy",compensation,finance,31/12/2025
FFIN003,TDS & Tax Deduction Policy,"The company deducts employee income tax in accordance with applicable local tax regulations of the respective foreign country. Employees must submit required tax declarations or documents as per local laws. The company ensures timely tax deductions, filings, and statutory reporting, and provides necessary tax statements to employees, in compliance with foreign employment laws and company policy.”",statutory,finance,31/12/2025
FFIN004,Employee Loan & Advance Policy,"Employees who have completed the minimum service period as defined by company policy may apply for salary advances or emergency loans. Salary advances are generally limited to a portion of the employee’s monthly salary, and emergency loans are approved based on necessity and eligibility. All requests must be approved by the Reporting Manager, HR, and Finance. Repayment is made through monthly payroll deductions over an agreed repayment period, in compliance with applicable foreign employment regulations and company policy",loans,finance,31/12/2025
FFIN005,Travel & Expense Reimbursement Policy,"Employees undertaking official business travel must obtain prior approval from their Reporting Manager and HR. Travel and accommodation expenses must comply with company-approved budgets and limits. Eligible expenses such as transportation, lodging, meals, and business-related incidentals are reimbursed upon submission of valid receipts. Expense claims must be submitted within the prescribed timeline and reimbursements are processed through payroll or bank transfer, in compliance with applicable foreign employment laws and company policy",expenses,finance,31/12/2025
FFIN006,Corporate Credit Card Policy,"Corporate credit cards are issued to eligible employees based on job role and business requirements, subject to approval from the Reporting Manager, HR, and Finance. The card may be used exclusively for authorized business-related expenses such as travel, lodging, meals, and client engagements, within defined spending limits. Employees must submit valid receipts and complete expense reconciliation within the prescribed timelines. Any personal or unauthorized usage may lead to recovery of amounts and disciplinary action, in compliance with company policy and applicable local financial regulations.”",expenses,finance,31/12/2025
FFIN007,Vendor Payment Policy,"Vendor payments are processed based on approved contracts, purchase orders, and verified invoices. All payment requests require approval from the respective department head and Finance. Payments are released within the agreed contractual timelines, typically within 30 days of invoice approval, via authorized banking channels, in compliance with company policy and applicable local financial regulations.”",accounts,finance,31/12/2025
FFIN008,Petty Cash Policy,"Petty cash is used for minor business-related expenses where other payment methods are not feasible. All expenditures must be supported by receipts and approved by the authorized manager or Finance. A designated custodian maintains petty cash records and ensures regular reconciliation. Petty cash reconciliation and replenishment are conducted as per company-defined timelines, in compliance with applicable local financial regulations and company policy",accounts,finance,31/12/2025
FFIN009,Internal Audit Policy,"The company performs periodic internal audits to assess financial accuracy, operational effectiveness, and compliance with company policies and applicable local regulations. Audits are conducted at defined intervals, and findings are reported to Senior Management. Necessary corrective actions are tracked and implemented within approved timelines, in accordance with company policy and local compliance requirements.”",audit,finance,31/12/2025
FFIN010,Statutory Compliance Policy,"The company ensures compliance with applicable local financial and statutory regulations, including income tax, social security contributions, and other mandatory statutory requirements. All statutory deductions, payments, and filings are completed within legally defined timelines. Compliance is overseen by Finance and HR, in accordance with company policy and local regulatory requirements",statutory,finance,31/12/2025
FFIN011,Capex & Purchase Approval Policy,"All capital expenditure and purchase requests must be formally submitted with documented business justification and budget alignment. Approval is obtained based on defined financial thresholds and authority levels, including Department Head, Finance, and Senior Management. Purchases are initiated only after receiving the required approvals. All capital expenditure and procurement activities comply with company policy and applicable local financial and regulatory requirements.”",procurement,finance,31/12/2025
FFIN012,Retirement & Gratuity Fund Policy,"The retirement age and eligibility for pension benefits are defined in accordance with applicable local employment laws of the respective foreign country. The company and employee contribute to mandatory pension or social security schemes as prescribed by law. Contribution percentages and calculation methods vary based on local regulations. Retirement or pension benefits are disbursed upon meeting eligibility criteria such as retirement age or years of service, and payments are processed within legally mandated timelines, in accordance with company policy and local employment laws.”",benefits,finance,31/12/2025
FFIN013,Expense Misuse & Fraud Policy,"Any suspected financial misuse or fraudulent expense claim must be reported through designated reporting channels to Management, Finance, or HR. The company will initiate a structured investigation, including document verification and employee interviews. Proven violations may result in recovery of funds, disciplinary action, or termination, in accordance with company policy and applicable local laws. Cases involving serious financial misconduct may be escalated to relevant regulatory authorities as required by law.”",compliance,finance,31/12/2025
