policy_id,policy_name,policy_description,policy_category,department,effective_from
HR001,Recruitment & Hiring Policy,"The company defines sourcing channels including job portals, referrals, and campus drives. Recruitment stages include application screening, technical assessment, HR interview, and final managerial interview. Approval for hiring is required from the respective department head and HR. All processes are completed in compliance with Indian labor laws and company policy",employment,hr,     31/12/2025
HR002,Offer Letter & Appointment Policy,"The company will issue an offer letter to all selected candidates, which must be formally accepted by the employee within 7 days. Upon acceptance, an appointment letter will be provided, documenting the terms of employment, joining date, role, compensation, and reporting manager. Copies of both letters will be securely stored by HR for a minimum of 5 years in accordance with Indian labor laws and company policy",employment,hr,     31/12/2025
HR003,Probation & Confirmation Policy,"All newly joined employees will be on probation for a period of 6 months. During this period, performance will be evaluated based on Key Performance Indicators (KPIs), punctuality, attendance, and adherence to company policies. Confirmation will be granted upon satisfactory evaluation by the reporting manager and HR. If performance is unsatisfactory, probation may be extended by up to 3 months or employment may be terminated, in accordance with Indian labor laws and company policy.”",employment,hr,     31/12/2025
HR004,Internal Job Posting (IJP) Policy,"Employees become eligible for internal role movements or promotions after completing at least 12 months in their current role with satisfactory performance ratings. The process includes submission of interest, manager recommendations, HR review, and approval from the relevant department head. All movements are documented, and updated roles are effective upon HR confirmation, in accordance with Indian labor laws and company policy.”",employment,hr,     31/12/2025
HR011,Health Insurance Policy,"The company provides group medical insurance with annual coverage of ?5,00,000 per employee, including spouse and up to 2 children. Employees must enroll within 30 days of joining, and claims will be processed within 15 working days, in accordance with Indian insurance regulations and company policy.”",benefits,hr,     31/12/2025
HR012,Provident Fund & Gratuity Policy,"“Employees are eligible for statutory retirement benefits including Provident Fund (PF), gratuity, and pension as applicable under Indian labor laws. Eligibility begins upon completion of minimum service requirements, and benefits are calculated and disbursed according to company policy and relevant Indian statutes.”",benefits,hr,     31/12/2025
HR013,Employee Assistance Program (EAP) Policy,"The company provides confidential counseling and wellness support services to all employees, including mental health resources, stress management programs, and professional guidance. Employees can access these services voluntarily, and all interactions are kept strictly confidential in accordance with Indian labor laws and company policy.",benefits,hr,     31/12/2025
HR021,Employee Data Privacy Policy,"The company ensures that all employee personal data, including identity documents, payroll information, and performance records, is handled securely and kept confidential. Access is restricted to authorized HR personnel only, and data is processed in accordance with Indian data protection regulations and company policy.",data_privacy,hr,     31/12/2025
HR022,Background Verification Policy,"All newly recruited employees must successfully complete a background verification, including educational qualifications, previous employment, criminal record, and reference checks, before their employment is confirmed. Any discrepancies or negative findings may lead to withdrawal of the offer or termination, in accordance with Indian labor laws and company policy.",data_privacy,hr,     31/12/2025
HR023,Document Retention Policy,"All HR-related records, including employee personal files, attendance, leave records, payroll, and performance appraisals, must be securely stored and retained for a minimum of 5 years after employee separation, in accordance with Indian labor laws and company policy. HR is responsible for secure storage, proper indexing, and controlled access to these records.”",data_privacy,hr,     31/12/2025
HR024,Resignation & Separation Policy,"Employees are required to submit a formal resignation letter at least 30 days prior to their last working day. During the notice period, employees must complete a proper handover of responsibilities, pending tasks, and documentation to their reporting manager or designated colleague. HR and the respective department will verify completion before processing the final settlement, in accordance with Indian labor laws and company policy",exit,hr,     31/12/2025
HR026,Exit Interview Policy,"The HR department will conduct an exit interview with all departing employees within their notice period to capture feedback regarding work experience, management, and company processes. The feedback will be documented and used to improve HR policies and workplace practices, in accordance with company policy and Indian labor laws",exit,hr,     31/12/2025
HR027,Full & Final Settlement Policy,"The final settlement of an employee leaving the company will be completed within 30 days from the last working day. It includes payment of pending salary, accrued but unused leaves, gratuity, PF settlement, and any other statutory dues, after deducting applicable taxes. HR and Finance departments will ensure all approvals and documentation are completed in accordance with Indian labor laws and company policy",exit,hr,     31/12/2025
HR028,Absconding Policy,"An employee will be considered absconded if they remain absent from work for more than 7 consecutive days without prior approval or notification. Consequences include termination of employment, withholding of salary and benefits, and forfeiture of accrued leave, as per Indian labor laws and company policy. HR will conduct due verification before taking final action.”",exit,hr,     31/12/2025
HR029,Retirement Policy,"Employees will retire at the age of 60 years. Post-retirement benefits include full Provident Fund (PF) settlement with accrued interest, gratuity payment as per Payment of Gratuity Act, pension (if applicable), and continuation of group health insurance for one year after retirement. Retirement process and documents will be handled by HR in accordance with Indian labor laws and company policy.",exit,hr,     31/12/2025
