policy_id,policy_name,policy_description,policy_category,department,effective_from
FIT001,Password Management Policy,"Employees must create and maintain strong passwords for all company IT systems. Passwords must be at least 8 characters, include a combination of letters, numbers, and symbols, and must not be shared. Passwords must be changed periodically (e.g., every 90 days) and cannot be reused within a defined history (e.g., last 5 passwords). Credentials must be stored securely using approved password management tools. Non-compliance may result in disciplinary action, in line with company policy and applicable local cybersecurity and data protection laws",security,IT,31/12/2025
FIT002,Data Access & Confidentiality Policy,"“Sensitive company data is accessible only to employees whose roles require such access, with authorization from the Department Head and IT Security. Employees must use the data strictly for official purposes, maintain confidentiality, and refrain from sharing information outside the organization. All access activities are logged and monitored. Breaches of data access policies may result in disciplinary action or legal consequences, in accordance with company policy and applicable local data protection and employment laws.”",security,IT,31/12/2025
FIT003,Network & Internet Usage Policy,"“Company-provided networks, Wi-Fi, VPNs, and internet access must be used strictly for official business purposes. Employees must not engage in personal, illegal, or unauthorized activities, such as streaming non-work content, downloading unlicensed software, or visiting inappropriate websites. All usage may be monitored, and violations may result in disciplinary action, including suspension of access, warnings, or termination, in accordance with company policy and applicable local IT and cybersecurity laws.”",network,IT,31/12/2025
FIT004,IT Asset Management Policy,"Company IT assets including laptops, desktops, mobile devices, and accessories are issued to employees based on business requirements, with authorization from the Reporting Manager and IT Department. Employees are responsible for safeguarding, proper use, and security of these assets. All issued assets are recorded in the company inventory system. Upon resignation, termination, or transfer, employees must return all IT assets within the timeline defined by the company (typically 3–5 business days). Non-return may result in cost recovery or disciplinary action, in accordance with company policy and applicable local regulations.",asset,IT,31/12/2025
FIT005,Software Installation & Licensing Policy,"“Employees must install and use only company-authorized licensed software on all company IT devices. Unauthorized or unlicensed software usage is strictly prohibited. Installation requires prior approval from IT, and all usage must comply with software vendor licensing agreements. Compliance audits are conducted periodically. Breaches may result in software access revocation, disciplinary measures, and/or legal action, in accordance with company policy and applicable local copyright and IT laws“Employees must install and use only company-authorized licensed software on all company IT devices. Unauthorized or unlicensed software usage is strictly prohibited. Installation requires prior approval from IT, and all usage must comply with software vendor licensing agreements. Compliance audits are conducted periodically. Breaches may result in software access revocation, disciplinary measures, and/or legal action, in accordance with company policy and applicable local copyright and IT laws",software,IT,31/12/2025
FIT006,Backup & Disaster Recovery Policy,"All critical company data must be backed up regularly according to company-defined schedules, such as daily incremental backups and weekly full backups. Backups are stored securely using approved storage solutions and are regularly verified for integrity. The IT Department oversees backup operations and maintains disaster recovery plans. In case of system failure, data loss, or disasters, data must be restored promptly following the disaster recovery plan. Employees must report incidents immediately. All processes comply with company policy and applicable local IT and cybersecurity regulations.”",backup,IT,31/12/2025
FIT007,Email & Communication Policy,"Corporate email accounts are provided for official business purposes only. Employees must not use company email for personal, illegal, or unauthorized activities. Confidential company information must not be shared externally without proper authorization. All emails are archived in accordance with company-defined retention schedules and may be monitored for compliance. Violations may result in disciplinary measures, including suspension of email access or termination, in line with company policy and applicable local data protection and IT regulations.”",communication,IT,31/12/2025
FIT008,Incident Management Policy,"Employees must report all IT incidents, including system outages, hardware/software failures, and security events, to the IT Helpdesk through the approved ticketing system. Incidents are logged, prioritized, and monitored until resolution. IT is responsible for timely resolution and communicating updates to affected employees. Critical incidents are escalated to Senior IT Management. All processes follow company policy and applicable local IT and cybersecurity regulations.”

Example specifics",incident,IT,31/12/2025
FIT009,Access Control & Permissions Policy,"“Employee accounts for IT systems are created based on job roles with approval from the Reporting Manager and IT Department. Access rights follow the least privilege principle. Elevated or administrative access is granted only with approval from Senior IT Management. Accounts must be deactivated promptly upon employee resignation, transfer, or termination. Access rights are periodically reviewed to ensure compliance with role requirements. All processes follow company policy and applicable local IT and cybersecurity regulations.”",access,IT,31/12/2025
FIT010,Bring Your Own Device (BYOD) Policy,"Employees may use personal devices for official purposes only after obtaining authorization from their Reporting Manager and IT Department. Devices must meet company security standards, including strong passwords, encryption, and antivirus protection. Company data on personal devices must remain confidential, and employees must promptly report any loss, theft, or security incident. Non-compliance may lead to suspension of BYOD privileges, disciplinary measures, or legal action, in accordance with company policy and applicable local IT and cybersecurity regulations.”",device,IT,31/12/2025
FIT011,IT Compliance Policy,"“The company ensures compliance with all applicable local and international IT regulations and standards, including GDPR, ISO27001, HIPAA, and other relevant regulatory requirements. Employees must adhere to these requirements when using company IT systems and handling data. Compliance is monitored through regular audits and reviews. Violations may lead to disciplinary action, legal consequences, or revocation of system access, in accordance with company policy and local regulations.”",compliance,IT,31/12/2025
FIT012,Remote Work IT Security Policy,"“Employees working remotely must access company IT systems exclusively via approved VPNs. All devices used for remote work must meet company security standards, including strong passwords, encryption, up-to-date antivirus, and firewall protection. Remote access is provided only to authorized personnel based on job roles. Any loss, theft, or suspected security breach must be reported immediately. Non-compliance may result in suspension of remote access, disciplinary measures, or legal action, in accordance with company policy and applicable local IT and cybersecurity laws.",security,IT,31/12/2025
