policy_id,policy_name,policy_description,policy_category,department,region,effective_from
IT001,Password Management Policy,"All employees must create strong passwords for accessing company IT systems. Passwords must be at least 8 characters long, include uppercase, lowercase, numeric, and special characters, and must not be shared. Passwords must be changed every 90 days, and employees are prohibited from reusing the last 5 passwords. All credentials must be stored securely using company-approved password managers. Violation of these rules may result in disciplinary action, in accordance with company policy and applicable Indian IT and cybersecurity regulations.",security,it,all,31/12/2025
IT002,Data Access & Confidentiality Policy,"“Access to sensitive company data is restricted to employees who require it for their job responsibilities. Authorization must be granted by the respective Department Head and IT Security. Employees must access data only for official purposes, maintain confidentiality, and not share information externally. All access is logged and monitored. Violation of data access rules may result in disciplinary action or legal consequences, in accordance with company policy and applicable Indian IT, data protection, and labor laws.”",security,it,all,31/12/2025
IT003,Network & Internet Usage Policy,"Company networks, Wi-Fi, VPNs, and internet resources are provided for official business purposes only. Employees must not use these resources for personal, illegal, or unauthorized activities, including but not limited to streaming, downloading pirated content, or accessing inappropriate websites. All network activity may be monitored. Violations of this policy may result in disciplinary action, including revocation of access, warnings, or termination, in accordance with company policy and applicable Indian IT and cybersecurity regulations.”.",network,it,all,31/12/2025
IT004,IT Asset Management Policy,"All IT assets such as laptops, desktops, mobile devices, and peripherals are issued to employees based on job requirements with proper approval from the Reporting Manager and IT Department. Employees are responsible for the care, proper use, and security of assigned assets. All issued assets are logged in the company inventory system. Upon resignation, termination, or role change, employees must return all IT assets within 3 working days. Failure to return assets may result in recovery of costs and/or disciplinary action, in accordance with company policy and applicable Indian IT regulations.”",asset,it,all,31/12/2025
IT005,Software Installation & Licensing Policy,"Employees must install and use only company-approved licensed software on all IT devices. Unauthorized or pirated software is strictly prohibited. Software installation requires approval from the IT Department, and usage must comply with vendor license agreements. Regular audits will be conducted to ensure compliance. Violation of this policy may result in revocation of software access, disciplinary action, and/or legal consequences, in accordance with company policy and applicable Indian IT and copyright laws.”",software,it,all,31/12/2025
IT006,Backup & Disaster Recovery Policy,"“All critical company data must be backed up regularly according to the company-defined schedule, typically daily incremental backups and weekly full backups. Backups are stored securely on company-approved storage systems and verified for integrity. The IT Department is responsible for monitoring backup processes and maintaining disaster recovery (DR) plans. In case of data loss, system failure, or other disasters, data must be restored promptly following the DR plan. Employees must report any data loss incidents immediately. All processes comply with company policy and applicable Indian IT and cybersecurity regulations.”",backup,it,all,31/12/2025
IT007,Email & Communication Policy,"“Corporate email accounts are provided to employees for official business communication only. Employees must not use company email for personal, illegal, or unauthorized activities. Emails containing confidential company information must be handled with care and not shared externally without authorization. All emails are archived according to company-defined retention periods, typically 7 years, and may be monitored for compliance. Violations may result in disciplinary action, including suspension of email access or termination, in accordance with company policy and applicable Indian IT, data protection, and labor laws.”s",communication,it,all,31/12/2025
IT008,Incident Management Policy,"All IT incidents, including system outages, hardware or software failures, and security events, must be reported immediately to the IT Helpdesk via the designated ticketing system. Each incident is logged, assigned a priority level, and tracked until resolution. IT is responsible for timely investigation, resolution, and communication to affected employees. Critical incidents must be escalated to Senior IT Management. All procedures comply with company policy and applicable Indian IT, cybersecurity, and labor regulations..",incident,it,all,31/12/2025
IT009,Access Control & Permissions Policy,"All employee accounts for IT systems are created based on role requirements and must be approved by the Reporting Manager and IT Department. Access rights are assigned according to the principle of least privilege. Admin or elevated privileges are granted only with Senior IT Management approval. Accounts of employees who resign, transfer, or are terminated must be deactivated immediately. Periodic reviews are conducted to ensure access rights remain appropriate. All procedures comply with company policy and applicable Indian IT, cybersecurity, and labor laws.”.",access,it,all,31/12/2025
IT010,Bring Your Own Device (BYOD) Policy,"The company ensures adherence to all applicable Indian IT, data protection, and cybersecurity regulations, including but not limited to the IT Act, CERT-IN guidelines, and industry standards such as ISO27001. Employees are required to comply with these regulations when handling company IT systems and data. Regular audits and reviews are conducted to ensure compliance. Non-compliance may result in disciplinary action, legal consequences, or revocation of system access, in accordance with company policy and Indian laws.”",device,it,all,31/12/2025
IT011,IT Compliance Policy,"The company ensures adherence to all applicable Indian IT, data protection, and cybersecurity regulations, including but not limited to the IT Act, CERT-IN guidelines, and industry standards such as ISO27001. Employees are required to comply with these regulations when handling company IT systems and data. Regular audits and reviews are conducted to ensure compliance. Non-compliance may result in disciplinary action, legal consequences, or revocation of system access, in accordance with company policy and Indian laws.”",compliance,it,all,31/12/2025
IT012,Remote Work IT Security Policy,"“Employees working remotely must connect to company IT systems only via company-approved VPNs. Personal and company devices used for remote work must comply with security requirements including strong passwords, device encryption, updated antivirus software, and firewall protection. Remote access is granted only to authorized employees based on role. Employees must immediately report any loss, theft, or suspected security breach. Non-compliance may result in revocation of remote access, disciplinary action, or legal consequences, in accordance with company policy and applicable Indian IT and cybersecurity regulations.”",security,it,all,31/12/2025
