policy_id,policy_name,policy_description,policy_category,department,effective_from
PR001,Product Development Lifecycle Policy,"The company follows a structured product development process consisting of multiple stages: Ideation, Feasibility Analysis, Design, Development, Testing, Launch, and Iteration. Each stage has defined responsibilities, deliverables, and approval requirements. Teams must document progress and seek necessary approvals from Product Management and relevant stakeholders before moving to the next stage. Iteration cycles are conducted based on feedback from users and internal reviews. All processes comply with company policy and applicable Indian regulatory requirements",development,product,31/12/2025
PR002,Agile/Scrum Process Policy,"“The company follows Agile methodology for software and product development. Teams plan work in sprints of defined duration (typically 2 weeks), conduct daily standups to review progress, and maintain a backlog of prioritized tasks. At the end of each sprint, a retrospective meeting is held to identify improvements and lessons learned. All Agile ceremonies, documentation, and reporting must comply with company policy and applicable Indian labor and IT regulations.”",development,product,31/12/2025
PR003,Product Release Approval Policy,"“All software and product releases must follow a structured release schedule and approval workflow. Each release must be documented with version control and tested in a controlled environment before deployment. Approvals from Product Management, QA, and IT/DevOps teams are required before production release. Deployment must follow company-defined procedures, including rollback plans in case of failure. All release activities comply with company policy and applicable Indian IT and software development regulations.”",release,product,31/12/2025
PR004,Quality Assurance & Testing Policy,"All products and software must adhere to defined QA standards before release. QA teams are responsible for creating and executing test plans, reporting bugs in the company-approved bug tracking system, and ensuring sufficient test coverage. Regression testing must be performed for all updates or changes. Approvals from QA Lead and Product Management are required before deployment. All QA activities comply with company policy and applicable Indian software development and IT regulations.”",quality,product,31/12/2025
PR005,Product Data Handling Policy,"All product-related data must be collected, stored, and used in accordance with company-defined procedures. Data must be stored securely using company-approved systems, with access restricted to authorized personnel based on role. Confidential product information must not be shared externally without authorization. Regular audits are conducted to ensure data security and compliance. Non-compliance may result in disciplinary action, revocation of access, or legal consequences, in accordance with company policy and applicable Indian IT, data protection, and intellectual property laws.”",data,product,31/12/2025
PR006,Customer Data Privacy Policy,"“All customer data collected by the company must be handled securely and in compliance with applicable Indian data protection regulations, including the IT Act, 2011 and related guidelines. Customer data must be used only for authorized purposes, and personally identifiable information (PII) must be anonymized wherever possible. Access is restricted to authorized personnel based on role, and all data handling activities are logged and monitored. Any breach, misuse, or unauthorized disclosure may result in disciplinary action, legal consequences, or revocation of system access, in accordance with company policy.”",data,product,31/12/2025
PR007,Intellectual Property & Copyright Policy,"“All intellectual property (IP) created by employees during the course of employment, including inventions, patents, copyrights, trademarks, and trade secrets, is the property of the company. Employees must disclose any new inventions or creations to the IP/Legal department. Unauthorized use, sharing, or disclosure of company IP is strictly prohibited. Violation may result in disciplinary action, legal consequences, and recovery of damages, in accordance with company policy and applicable Indian intellectual property laws.”",compliance,product,31/12/2025
PR008,Product Feedback & Iteration Policy,"“The company maintains a structured process for collecting feedback, managing changes, and implementing iterative improvements. Feedback from employees, customers, and stakeholders is collected regularly and analyzed. All change requests must follow the change management workflow, including documentation, approvals from relevant managers, impact assessment, and scheduling. Iterative improvements are implemented based on feedback and approved changes. All activities comply with company policy and applicable Indian regulations.”",iteration,product,31/12/2025
PR009,Third-Party Integration Policy,"All integrations with third-party APIs or services must be approved by the IT Department and relevant stakeholders before implementation. Employees must ensure that third-party services comply with company security standards, including data encryption, authentication, and access controls. Usage of third-party APIs must follow documented guidelines, and any data exchange must comply with applicable Indian IT, data protection, and cybersecurity laws. Unauthorized integration or use may result in disciplinary action, revocation of access, or legal consequences.”",integration,product,31/12/2025
PR010,Product Documentation Policy,"All integrations with third-party APIs or services must be approved by the IT Department and relevant stakeholders before implementation. Employees must ensure that third-party services comply with company security standards, including data encryption, authentication, and access controls. Usage of third-party APIs must follow documented guidelines, and any data exchange must comply with applicable Indian IT, data protection, and cybersecurity laws. Unauthorized integration or use may result in disciplinary action, revocation of access, or legal consequences.”",documentation,product,31/12/2025
PR011,Product Risk & Compliance Policy,"“All products must comply with applicable Indian regulations, standards, and industry guidelines. The Product team is responsible for performing risk assessments at each stage of the product lifecycle and identifying potential compliance, safety, or operational risks. Mitigation strategies must be documented and implemented prior to launch. Regular audits and reviews are conducted to ensure ongoing compliance. Non-compliance or unmitigated risks may result in corrective action, escalation to management, and legal consequences, in accordance with company policy and Indian regulatory requirements.”",compliance,product,31/12/2025
PR012,Product Budget & Resource Allocation Policy,"“All product initiatives must follow a structured budget planning and resource allocation process. Proposed budgets must be prepared by the Product team and submitted for approval to Finance, Product Management, and relevant stakeholders. Resource allocation must align with approved budgets and project priorities. Any deviation from planned budgets or resource usage must be documented and approved. All budgeting and allocation activities comply with company policy and applicable Indian financial regulations.”",finance,product,31/12/2025
