policy_id,policy_name,policy_description,policy_category,department,effective_from
FHR001,Recruitment & Hiring Policy,"The company utilizes sourcing channels such as online job platforms, referrals, and recruitment agencies. Recruitment stages include application review, assessment, HR interview, and final managerial approval. All hiring approvals are obtained from the department head and HR, and the process complies with local employment laws and company policy.",employment,hr,     31/12/2025
FHR002,Offer Letter & Appointment Policy,"The company will issue an offer letter to all selected candidates, which must be accepted within the stipulated period (usually 7 business days). Upon acceptance, an appointment letter outlining role, salary, joining date, and reporting manager is provided. HR maintains secure records of all letters for a minimum period as required by local laws (typically 5–7 years), in accordance with company policy and local employment regulations.",employment,hr,     31/12/2025
FHR003,Probation & Confirmation Policy,"All newly hired employees will undergo a probation period of 6 months. During probation, performance is assessed based on objectives, attendance, conduct, and feedback from managers. Confirmation is granted upon satisfactory evaluation by the reporting manager and HR. If performance is unsatisfactory, probation may be extended or employment may be terminated, in accordance with local employment laws and company policy.",employment,hr,     31/12/2025
FHR004,Internal Job Posting (IJP) Policy,"Employees are eligible for internal role movements or promotions after completing at least 12 months in their current position with satisfactory performance. The process includes submission of interest, manager recommendations, HR evaluation, and department head approval. All role changes are documented and become effective upon HR confirmation, in accordance with local employment laws and company policy.",employment,hr,     31/12/2025
FHR011,Health Insurance Policy,"The company provides group health insurance with annual coverage of $10,000 USD per employee, including spouse and up to 2 children. Employees must enroll within 30 days of joining, and claims will be settled within 15 business days, in accordance with local insurance laws and company policy.",benefits,hr,     31/12/2025
FHR012,Provident Fund & Gratuity Policy,"Employees are eligible for statutory retirement benefits such as pension plans, retirement savings contributions, and other mandated retirement provisions, in accordance with local employment laws. Eligibility and benefit calculation follow company policy and applicable statutory requirements.",benefits,hr,     31/12/2025
FHR013,Employee Assistance Program (EAP) Policy,"The company offers confidential counseling and wellness support services to all employees, including mental health resources, stress management programs, and professional guidance. Access to these services is voluntary, and all information is maintained securely and confidentially, in compliance with local employment laws and company policy.",benefits,hr,     31/12/2025
FHR021,Employee Data Privacy Policy,"The company ensures that all employee personal and sensitive data, including identity documents, payroll details, and performance records, is securely handled and maintained confidentially. Access is limited to authorized HR personnel, and data is processed in compliance with applicable local data protection laws (e.g., GDPR) and company policy.",data_privacy,hr,     31/12/2025
FHR022,Background Verification Policy,"All new hires must undergo a background verification process covering education, prior employment, criminal records, and references before employment confirmation. Any discrepancies or negative findings may result in withdrawal of the offer or termination, in accordance with local employment laws and company policy.",data_privacy,hr,     31/12/2025
FHR023,Document Retention Policy,"All HR-related records, including employee personal files, attendance, leave, payroll, and performance documentation, must be securely stored and retained for a minimum period as required by local laws (typically 5–7 years) after employee separation. HR is responsible for secure storage, indexing, and controlled access in accordance with company policy and local regulations",data_privacy,hr,     31/12/2025
FHR024,Resignation & Separation Policy,"“Employees must submit a formal resignation notice as per the terms of their employment contract, typically 30 days prior to their last working day. During the notice period, employees are required to hand over responsibilities, pending tasks, and documentation to the reporting manager or assigned colleague. HR and relevant department will verify completion in accordance with company policy and local employment laws",exit,hr,     31/12/2025
FHR026,Exit Interview Policy,"HR will conduct an exit interview with departing employees during their notice period to gather feedback on their work experience, management, and company processes. The feedback will be recorded and used to improve HR policies and workplace practices, following company policy and applicable local employment laws",exit,hr,     31/12/2025
FHR027,Full & Final Settlement Policy,"The final settlement for an employee leaving the company will be completed within 30 business days from the last working day. It includes payment of pending salary, accrued leave, retirement benefits, and any statutory dues, subject to local employment laws. HR and Finance will ensure all approvals, deductions, and documentation are completed according to company policy and local regulations",exit,hr,     31/12/2025
FHR028,Absconding Policy,"An employee will be considered absent without authorization if they fail to report to work for more than 5 consecutive business days without notification. Consequences include termination of employment, withholding of salary or benefits, and forfeiture of accrued leave, in accordance with local employment laws and company policy. HR will investigate and follow due process before final action",exit,hr,     31/12/2025
FHR029,Retirement Policy,"Employees will retire at the age of 60. Post-retirement benefits include PF, gratuity, pension (if applicable), and continuation of health insurance for one year, as per Indian laws and company policy",exit,hr,     31/12/2025
